"country","taxRich","religiousLaw","freeElection","helpUnemp","armyTakesOver","civilRights","equalIncome","obeyRulers","genderEquality","importance"
"Estonia",7,2,10,8,2,7,6,6,10,10
"Estonia",6,1,9,7,2,9,4,8,9,10
"Estonia",1,2,8,8,5,7,4,2,3,10
"Estonia",10,4,10,10,1,4,10,4,10,10
"Estonia",8,3,10,10,7,5,10,8,10,9
"Estonia",7,3,7,8,1,9,4,3,9,8
"Estonia",8,1,9,7,1,8,8,1,9,9
"Estonia",7,3,8,6,4,8,8,3,9,9
"Estonia",2,2,8,4,3,6,4,3,7,8
"Estonia",6,4,8,8,3,10,5,1,10,9
"Estonia",8,2,10,10,3,9,8,4,10,8
"Estonia",10,3,10,10,5,9,6,2,10,10
"Estonia",10,1,10,10,6,10,10,4,6,7
"Estonia",8,5,8,8,2,9,9,4,10,8
"Estonia",7,1,8,8,1,8,8,8,8,8
"Estonia",8,6,7,9,7,6,4,6,4,8
"Estonia",8,2,9,9,9,9,9,6,9,10
"Estonia",8,1,10,9,3,10,10,5,8,10
"Estonia",10,3,9,10,4,8,9,7,6,9
"Estonia",9,2,10,10,3,10,9,6,9,6
"Estonia",8,7,7,7,4,7,6,4,4,9
"Estonia",3,4,3,4,6,5,6,4,6,5
"Estonia",8,6,9,6,5,4,8,8,5,8
"Estonia",6,6,5,7,7,6,6,6,6,7
"Estonia",7,3,7,7,4,8,7,3,7,7
"Estonia",9,5,10,10,6,9,1,4,8,9
"Estonia",9,5,9,10,5,10,8,6,10,3
"Estonia",9,2,8,8,2,9,6,1,10,6
"Estonia",8,9,10,9,1,10,7,7,7,9
"Estonia",8,4,7,8,4,7,8,5,9,9
"Estonia",9,7,10,10,4,10,10,8,9,8
"Estonia",10,1,10,8,2,9,10,5,10,8
"Estonia",10,2,9,2,8,10,7,2,10,10
"Estonia",6,1,10,9,3,10,7,2,10,9
"Estonia",10,10,10,10,1,9,9,1,10,4
"Estonia",9,9,9,9,1,9,9,1,9,8
"Estonia",8,5,10,9,2,4,6,3,9,8
"Estonia",7,6,6,8,9,6,3,8,8,7
"Estonia",6,7,6,7,5,7,5,7,6,9
